"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-156902","Peptide chain elongation","8/200","87/9550",0.0919540229885057,4.39080459770115,4.64660877979205,0.000456175387737939,0.0284729471179764,0.0250096155558081,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-192823","Viral mRNA Translation","8/200","87/9550",0.0919540229885057,4.39080459770115,4.64660877979205,0.000456175387737939,0.0284729471179764,0.0250096155558081,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-156842","Eukaryotic Translation Elongation","8/200","91/9550",0.0879120879120879,4.1978021978022,4.48268084301497,0.00061786563271047,0.0294732413143394,0.0258882381019775,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-2408557","Selenocysteine synthesis","8/200","91/9550",0.0879120879120879,4.1978021978022,4.48268084301497,0.00061786563271047,0.0294732413143394,0.0258882381019775,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-72764","Eukaryotic Translation Termination","8/200","91/9550",0.0879120879120879,4.1978021978022,4.48268084301497,0.00061786563271047,0.0294732413143394,0.0258882381019775,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-2408522","Selenoamino acid metabolism","9/200","114/9550",0.0789473684210526,3.76973684210526,4.35096015867924,0.000629601950640094,0.0294732413143394,0.0258882381019775,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/AHCY/RPS21/RPS24",9
"R-HSA-71291","Metabolism of amino acids and derivatives","17/200","337/9550",0.0504451038575668,2.40875370919881,3.85068174816775,0.000702567293242878,0.0297318495394943,0.0261153902918754,"GPT2/SMOX/SLC7A5/RPL6/PSAT1/RPL29/RPL34/RPS15/RPLP0/RPS7/AHCY/ALDH4A1/RPS21/RPS24/NQO1/DIO2/PYCR1",17
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","8/200","93/9550",0.0860215053763441,4.10752688172043,4.40420791455643,0.00071451707838571,0.0297318495394943,0.0261153902918754,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-75205","Dissolution of Fibrin Clot","3/200","10/9550",0.3,14.325,6.16568267480028,0.000974045029068823,0.0383978803564499,0.0337273209511365,"PLAU/SERPINE2/ANXA2",3
"R-HSA-72689","Formation of a pool of free 40S subunits","8/200","99/9550",0.0808080808080808,3.85858585858586,4.18136515443063,0.00107962206587144,0.0404187767433806,0.0355024038572312,"RPL6/RPL29/RPL34/RPS15/RPLP0/RPS7/RPS21/RPS24",8
"R-HSA-453279","Mitotic G1 phase and G1/S transition","10/200","149/9550",0.0671140939597315,3.20469798657718,3.96682783886438,0.00113323673112282,0.0404187767433806,0.0355024038572312,"CDK4/E2F5/CCND1/MCM10/MYC/CDC45/RRM2/CKS1B/CCNB1/CCNA2",10
"R-HSA-1474228","Degradation of the extracellular matrix","9/200","126/9550",0.0714285714285714,3.41071428571429,3.98383657416905,0.00128990823810855,0.0439155122883318,0.038573810948222,"MMP7/TIMP1/MMP11/MMP3/MMP1/COL11A1/MMP12/MMP10/COL1A1",9
